Datetime,ProduceType,InputLevel,SpendResource,Type,ID,Name,Rank
2021-09-29 18:00:35,EQUIP,NORMAL,180/20/200/20,CLOAK,87,Ragged Cape,★★
2021-09-29 18:26:15,EQUIP,HEAVY-1,2000/500/2000/1000,REDDOT,11,COG M150,★★★★
2021-09-29 18:26:19,EQUIP,HEAVY-1,2000/500/2000/1000,REDDOT,10,AMP COMPM4,★★★
2021-09-29 18:26:22,EQUIP,HEAVY-1,2000/500/2000/1000,REDDOT,10,AMP COMPM4,★★★
2021-09-29 18:26:25,EQUIP,HEAVY-1,2000/500/2000/1000,OPTICAL,2,LRA 2-12x50,★★★
2021-09-29 18:26:28,EQUIP,HEAVY-1,2000/500/2000/1000,OPTICAL,4,VFL 6-24X56,★★★★★
2021-09-29 18:26:31,EQUIP,HEAVY-1,2000/500/2000/1000,CLOAK,90,Thermoptic Camouflage Cape,★★★★★
2021-09-30 18:30:12,GUN,NORMAL,130/130/130/30,HG,3,M9,★★★
2021-09-30 18:30:12,GUN,NORMAL,130/130/130/30,HG,141,Gr USPCompact,★★
2021-09-30 18:30:12,GUN,NORMAL,130/130/130/30,HG,10,PPK,★★
2021-09-30 18:30:12,GUN,NORMAL,130/130/130/30,HG,139,Bren Ten,★★
2021-09-30 18:30:19,EQUIP,NORMAL,180/20/200/20,CLOAK,87,Ragged Cape,★★
2021-09-30 18:30:19,EQUIP,NORMAL,180/20/200/20,CLOAK,89,Urban Camouflage Cape,★★★★
2021-09-30 18:30:19,EQUIP,NORMAL,180/20/200/20,CLOAK,87,Ragged Cape,★★
2021-09-30 18:30:19,EQUIP,NORMAL,180/20/200/20,CLOAK,87,Ragged Cape,★★
2021-10-01 18:25:22,GUN,NORMAL,91/400/400/30,AR,107,FF F2000,★★
2021-10-01 18:25:22,GUN,NORMAL,91/400/400/30,AR,133,Type63,★★
2021-10-01 18:25:22,GUN,NORMAL,91/400/400/30,AR,293,AK-15,★★★★★
2021-10-01 18:25:22,GUN,NORMAL,91/400/400/30,AR,133,Type63,★★
2021-10-01 22:00:42,EQUIP,NORMAL,180/20/200/20,CLOAK,88,Camouflage Cape,★★★
2021-10-01 22:00:42,EQUIP,NORMAL,180/20/200/20,CLOAK,87,Ragged Cape,★★
2021-10-01 22:00:42,EQUIP,NORMAL,180/20/200/20,CLOAK,87,Ragged Cape,★★
2021-10-01 22:00:42,EQUIP,NORMAL,180/20/200/20,CLOAK,87,Ragged Cape,★★
2021-10-02 12:51:20,GUN,NORMAL,130/130/130/30,HG,12,C96,★★★
2021-10-02 12:51:20,GUN,NORMAL,130/130/130/30,HG,97,M950A,★★★★★
2021-10-02 12:51:20,GUN,NORMAL,130/130/130/30,HG,5,M1895,★★
2021-10-02 12:51:20,GUN,NORMAL,130/130/130/30,HG,141,Gr USPCompact,★★
2021-10-02 15:35:12,GUN,NORMAL,130/130/130/30,HG,91,MP-446,★★
2021-10-02 15:35:12,GUN,NORMAL,130/130/130/30,HG,90,FF FNP9,★★
2021-10-02 15:35:12,GUN,NORMAL,130/130/130/30,SMG,32,Micro Uzi,★★★
2021-10-02 15:35:12,GUN,NORMAL,130/130/130/30,HG,2,M1911,★★
2021-10-02 18:13:09,GUN,NORMAL,130/130/130/30,HG,11,P08,★★★
2021-10-02 18:13:09,GUN,NORMAL,130/130/130/30,HG,2,M1911,★★
2021-10-02 18:13:09,GUN,NORMAL,130/130/130/30,SMG,94,Type64,★★
2021-10-02 18:13:09,GUN,NORMAL,130/130/130/30,HG,99,Gr Mk23,★★★★
2021-10-02 18:16:42,EQUIP,NORMAL,270/40/270/190,XEXO,55,IOP X1 Exoskeleton,★★
2021-10-02 18:16:42,EQUIP,NORMAL,270/40/270/190,TEXO,37,IOP T1 Exoskeleton,★★
2021-10-02 18:16:42,EQUIP,NORMAL,270/40/270/190,CLOAK,88,Camouflage Cape,★★★
2021-10-02 18:16:42,EQUIP,NORMAL,270/40/270/190,ARMORPLATE,42,Type 1 Armor Plate,★★★
2021-10-02 18:42:45,EQUIP,HEAVY-1,500/500/500/500,SUPPRESSOR,65,AC3 Suppressor,★★★★
2021-10-02 18:42:45,EQUIP,HEAVY-1,500/500/500/500,NIGHTEQUIP,14,PEQ-5,★★★
2021-10-02 18:42:45,EQUIP,HEAVY-1,500/500/500/500,FAIRY,25,Twin Fairies,★
2021-10-02 18:42:45,EQUIP,HEAVY-1,500/500/500/500,OPTICAL,4,VFL 6-24X56,★★★★★
2021-10-03 19:04:03,GUN,NORMAL,130/130/130/30,HG,123,P99,★★★
2021-10-03 19:04:03,GUN,NORMAL,130/130/130/30,HG,139,Bren Ten,★★
2021-10-03 19:04:03,GUN,NORMAL,130/130/130/30,HG,9,P38,★★
2021-10-03 19:04:03,GUN,NORMAL,130/130/130/30,HG,8,Makarov,★★★
2021-10-03 19:04:12,EQUIP,NORMAL,270/40/270/190,SUPPRESSOR,64,AC2 Suppressor,★★★
2021-10-03 19:04:12,EQUIP,NORMAL,270/40/270/190,NIGHTEQUIP,13,PEQ-2,★★
2021-10-03 19:04:12,EQUIP,NORMAL,270/40/270/190,ARMORPLATE,44,Type 3 Armor Plate,★★★★★
2021-10-03 19:04:12,EQUIP,NORMAL,270/40/270/190,TEXO,40,IOP T4 Exoskeleton,★★★★★
2021-10-04 21:40:01,GUN,NORMAL,130/130/130/30,HG,10,PPK,★★
2021-10-04 21:40:01,GUN,NORMAL,130/130/130/30,HG,141,Gr USPCompact,★★
2021-10-04 21:40:01,GUN,NORMAL,130/130/130/30,HG,10,PPK,★★
2021-10-04 21:40:01,GUN,NORMAL,130/130/130/30,HG,9,P38,★★
2021-10-04 21:40:08,EQUIP,NORMAL,180/20/200/20,CLOAK,87,Ragged Cape,★★
2021-10-04 21:40:08,EQUIP,NORMAL,180/20/200/20,CLOAK,87,Ragged Cape,★★
2021-10-04 21:40:08,EQUIP,NORMAL,180/20/200/20,CLOAK,87,Ragged Cape,★★
2021-10-04 21:40:08,EQUIP,NORMAL,180/20/200/20,CLOAK,87,Ragged Cape,★★
2021-10-05 15:01:03,EQUIP,HEAVY-1,2000/500/2000/1000,XEXO,56,IOP X2 Exoskeleton,★★★
2021-10-05 15:01:03,EQUIP,HEAVY-1,2000/500/2000/1000,REDDOT,10,AMP COMPM4,★★★
2021-10-05 15:01:11,EQUIP,HEAVY-1,2000/500/2000/1000,OPTICAL,2,LRA 2-12x50,★★★
2021-10-05 15:01:14,EQUIP,HEAVY-1,2000/500/2000/1000,FAIRY,17,Illumination Fairy,★
2021-10-05 17:50:22,EQUIP,HEAVY-1,500/500/500/500,REDDOT,10,AMP COMPM4,★★★
2021-10-05 17:50:22,EQUIP,HEAVY-1,500/500/500/500,FAIRY,15,Command Fairy,★
2021-10-05 17:50:22,EQUIP,HEAVY-1,500/500/500/500,FAIRY,3,Armor Fairy,★
2021-10-05 17:50:22,EQUIP,HEAVY-1,500/500/500/500,REDDOT,10,AMP COMPM4,★★★
2021-10-05 17:50:22,EQUIP,HEAVY-1,500/500/500/500,REDDOT,10,AMP COMPM4,★★★
2021-10-05 17:50:22,EQUIP,HEAVY-1,500/500/500/500,HOLO,7,EOT 516,★★★★
2021-10-05 19:09:58,GUN,NORMAL,130/130/130/30,HG,126,NZ75,★★★★★
2021-10-05 19:09:58,GUN,NORMAL,130/130/130/30,HG,91,MP-446,★★
2021-10-05 19:09:59,GUN,NORMAL,130/130/130/30,HG,91,MP-446,★★
2021-10-05 19:09:59,GUN,NORMAL,130/130/130/30,HG,9,P38,★★
2021-10-05 19:10:11,EQUIP,NORMAL,180/20/200/20,CLOAK,87,Ragged Cape,★★
2021-10-05 19:10:11,EQUIP,NORMAL,180/20/200/20,CLOAK,87,Ragged Cape,★★
2021-10-05 19:10:11,EQUIP,NORMAL,180/20/200/20,CLOAK,88,Camouflage Cape,★★★
2021-10-05 19:10:11,EQUIP,NORMAL,180/20/200/20,CLOAK,87,Ragged Cape,★★
2021-10-06 00:08:59,EQUIP,HEAVY-1,500/500/500/500,HOLO,8,EOT 518,★★★★★
2021-10-06 00:08:59,EQUIP,HEAVY-1,500/500/500/500,CLOAK,88,Camouflage Cape,★★★
2021-10-06 00:08:59,EQUIP,HEAVY-1,500/500/500/500,HOLO,7,EOT 516,★★★★
2021-10-06 00:08:59,EQUIP,HEAVY-1,500/500/500/500,FAIRY,4,Shield Fairy,★
2021-10-06 00:40:55,EQUIP,HEAVY-1,2000/500/2000/1000,FAIRY,9,Airstrike Fairy,★
2021-10-06 00:40:55,EQUIP,HEAVY-1,2000/500/2000/1000,OPTICAL,2,LRA 2-12x50,★★★
2021-10-06 00:40:55,EQUIP,HEAVY-1,2000/500/2000/1000,CLOAK,88,Camouflage Cape,★★★
2021-10-06 00:40:55,EQUIP,HEAVY-1,2000/500/2000/1000,HOLO,6,EOT 512,★★★
2021-10-06 00:40:55,EQUIP,HEAVY-1,2000/500/2000/1000,FAIRY,5,Defense Fairy,★
2021-10-06 12:44:13,GUN,NORMAL,130/130/130/30,SMG,32,Micro Uzi,★★★
2021-10-06 12:44:13,GUN,NORMAL,130/130/130/30,HG,126,NZ75,★★★★★
2021-10-06 12:44:13,GUN,NORMAL,130/130/130/30,HG,10,PPK,★★
2021-10-06 12:44:13,GUN,NORMAL,130/130/130/30,SMG,27,Skorpion,★★★
2021-10-06 16:45:15,EQUIP,HEAVY-1,2000/500/2000/1000,REDDOT,10,AMP COMPM4,★★★
2021-10-06 19:02:33,GUN,NORMAL,130/130/130/30,HG,10,PPK,★★
2021-10-06 19:02:33,GUN,NORMAL,130/130/130/30,HG,3,M9,★★★
2021-10-06 19:02:33,GUN,NORMAL,130/130/130/30,HG,97,M950A,★★★★★
2021-10-06 19:02:33,GUN,NORMAL,130/130/130/30,SMG,25,MP40,★★
2021-10-06 19:02:42,EQUIP,NORMAL,180/20/200/20,CLOAK,87,Ragged Cape,★★
2021-10-06 19:02:42,EQUIP,NORMAL,180/20/200/20,CLOAK,88,Camouflage Cape,★★★
2021-10-06 19:02:42,EQUIP,NORMAL,180/20/200/20,CLOAK,87,Ragged Cape,★★
2021-10-06 19:02:42,EQUIP,NORMAL,180/20/200/20,CLOAK,87,Ragged Cape,★★
2021-10-06 20:59:31,EQUIP,HEAVY-1,2000/500/2000/1000,HOLO,8,EOT 518,★★★★★
2021-10-06 20:59:31,EQUIP,HEAVY-1,2000/500/2000/1000,TEXO,38,IOP T2 Exoskeleton,★★★
2021-10-06 20:59:31,EQUIP,HEAVY-1,2000/500/2000/1000,HOLO,7,EOT 516,★★★★
2021-10-06 20:59:31,EQUIP,HEAVY-1,2000/500/2000/1000,FAIRY,1,Warrior Fairy,★
2021-10-06 20:59:31,EQUIP,HEAVY-1,2000/500/2000/1000,OPTICAL,2,LRA 2-12x50,★★★
2021-10-06 20:59:31,EQUIP,HEAVY-1,2000/500/2000/1000,TEXO,40,IOP T4 Exoskeleton,★★★★★
2021-10-06 20:59:31,EQUIP,HEAVY-1,2000/500/2000/1000,REDDOT,10,AMP COMPM4,★★★
2021-10-06 20:59:31,EQUIP,HEAVY-1,2000/500/2000/1000,OPTICAL,2,LRA 2-12x50,★★★
2021-10-06 21:45:47,EQUIP,HEAVY-1,500/500/500/500,FAIRY,1,Warrior Fairy,★
2021-10-06 21:45:47,EQUIP,HEAVY-1,500/500/500/500,SUPPRESSOR,64,AC2 Suppressor,★★★
2021-10-06 21:45:47,EQUIP,HEAVY-1,500/500/500/500,SUPPRESSOR,65,AC3 Suppressor,★★★★
2021-10-06 21:45:47,EQUIP,HEAVY-1,500/500/500/500,NIGHTEQUIP,14,PEQ-5,★★★
2021-10-06 21:45:47,EQUIP,HEAVY-1,500/500/500/500,OPTICAL,3,PSO-1,★★★★
2021-10-06 21:52:20,EQUIP,HEAVY-1,500/500/500/500,XEXO,56,IOP X2 Exoskeleton,★★★
2021-10-07 15:08:26,EQUIP,HEAVY-1,500/500/500/500,ARMORPLATE,42,Type 1 Armor Plate,★★★
2021-10-07 15:08:26,EQUIP,HEAVY-1,500/500/500/500,OPTICAL,4,VFL 6-24X56,★★★★★
2021-10-07 15:08:26,EQUIP,HEAVY-1,500/500/500/500,SUPPRESSOR,64,AC2 Suppressor,★★★
2021-10-07 15:08:26,EQUIP,HEAVY-1,500/500/500/500,REDDOT,11,COG M150,★★★★
2021-10-07 15:08:26,EQUIP,HEAVY-1,500/500/500/500,SUPPRESSOR,64,AC2 Suppressor,★★★
2021-10-07 15:08:26,EQUIP,HEAVY-1,500/500/500/500,XEXO,56,IOP X2 Exoskeleton,★★★
2021-10-07 15:08:26,EQUIP,HEAVY-1,500/500/500/500,FAIRY,24,Barrier Fairy,★
2021-10-07 15:08:26,EQUIP,HEAVY-1,500/500/500/500,XEXO,56,IOP X2 Exoskeleton,★★★
2021-10-07 19:15:16,GUN,NORMAL,130/130/130/30,HG,9,P38,★★
2021-10-07 19:15:16,GUN,NORMAL,130/130/130/30,HG,212,K5,★★★★
2021-10-07 19:15:16,GUN,NORMAL,130/130/130/30,HG,90,FF FNP9,★★
2021-10-07 19:15:16,GUN,NORMAL,130/130/130/30,HG,7,Stechkin,★★★★
2021-10-07 19:15:39,EQUIP,NORMAL,180/20/200/20,CLOAK,87,Ragged Cape,★★
2021-10-07 19:15:39,EQUIP,NORMAL,180/20/200/20,CLOAK,88,Camouflage Cape,★★★
2021-10-07 19:15:39,EQUIP,NORMAL,180/20/200/20,CLOAK,89,Urban Camouflage Cape,★★★★
2021-10-07 19:15:39,EQUIP,NORMAL,180/20/200/20,CLOAK,87,Ragged Cape,★★
2021-10-07 23:10:49,EQUIP,HEAVY-1,2000/500/2000/1000,OPTICAL,2,LRA 2-12x50,★★★
2021-10-07 23:10:49,EQUIP,HEAVY-1,2000/500/2000/1000,OPTICAL,2,LRA 2-12x50,★★★
2021-10-07 23:10:49,EQUIP,HEAVY-1,2000/500/2000/1000,CLOAK,88,Camouflage Cape,★★★
2021-10-07 23:10:49,EQUIP,HEAVY-1,2000/500/2000/1000,HOLO,6,EOT 512,★★★
2021-10-07 23:10:54,EQUIP,HEAVY-1,2000/500/2000/1000,REDDOT,11,COG M150,★★★★
2021-10-07 23:10:54,EQUIP,HEAVY-1,2000/500/2000/1000,REDDOT,11,COG M150,★★★★
2021-10-07 23:10:54,EQUIP,HEAVY-1,2000/500/2000/1000,FAIRY,10,Reinforcement Fairy,★
2021-10-07 23:10:54,EQUIP,HEAVY-1,2000/500/2000/1000,FAIRY,9,Airstrike Fairy,★
2021-10-08 19:03:51,GUN,NORMAL,130/130/130/30,HG,168,Spitfire,★★★★
2021-10-08 19:03:51,GUN,NORMAL,130/130/130/30,HG,139,Bren Ten,★★
2021-10-08 19:03:51,GUN,NORMAL,130/130/130/30,HG,90,FF FNP9,★★
2021-10-08 19:03:51,GUN,NORMAL,130/130/130/30,HG,90,FF FNP9,★★
2021-10-08 19:03:58,EQUIP,NORMAL,180/20/200/20,CLOAK,88,Camouflage Cape,★★★
2021-10-08 19:03:58,EQUIP,NORMAL,180/20/200/20,CLOAK,88,Camouflage Cape,★★★
2021-10-08 19:03:58,EQUIP,NORMAL,180/20/200/20,CLOAK,88,Camouflage Cape,★★★
2021-10-08 19:03:58,EQUIP,NORMAL,180/20/200/20,CLOAK,87,Ragged Cape,★★
2021-10-08 23:39:57,EQUIP,HEAVY-1,2000/500/2000/1000,FAIRY,8,Artillery Fairy,★
2021-10-08 23:39:57,EQUIP,HEAVY-1,2000/500/2000/1000,NIGHTEQUIP,14,PEQ-5,★★★
2021-10-08 23:40:08,EQUIP,HEAVY-1,2000/500/2000/1000,SUPPRESSOR,64,AC2 Suppressor,★★★
2021-10-08 23:40:10,EQUIP,HEAVY-1,2000/500/2000/1000,TEXO,38,IOP T2 Exoskeleton,★★★
2021-10-09 20:07:21,GUN,NORMAL,130/130/130/30,HG,90,FF FNP9,★★
2021-10-09 20:07:21,GUN,NORMAL,130/130/130/30,HG,141,Gr USPCompact,★★
2021-10-09 20:07:21,GUN,NORMAL,130/130/130/30,HG,91,MP-446,★★
2021-10-09 20:07:21,GUN,NORMAL,130/130/130/30,HG,91,MP-446,★★
2021-10-09 20:07:34,EQUIP,NORMAL,10/10/10/10,OPTICAL,1,BM 3-12X40,★★
2021-10-09 20:07:34,EQUIP,NORMAL,10/10/10/10,NIGHTEQUIP,13,PEQ-2,★★
2021-10-09 20:07:34,EQUIP,NORMAL,10/10/10/10,OPTICAL,1,BM 3-12X40,★★
2021-10-09 20:07:34,EQUIP,NORMAL,10/10/10/10,ARMORPLATE,42,Type 1 Armor Plate,★★★
2021-10-10 19:11:52,GUN,NORMAL,130/130/130/30,HG,9,P38,★★
2021-10-10 19:11:52,GUN,NORMAL,130/130/130/30,HG,3,M9,★★★
2021-10-10 19:11:52,GUN,NORMAL,130/130/130/30,HG,139,Bren Ten,★★
2021-10-10 19:11:52,GUN,NORMAL,130/130/130/30,HG,141,Gr USPCompact,★★
2021-10-10 19:12:00,EQUIP,NORMAL,10/10/10/10,XEXO,56,IOP X2 Exoskeleton,★★★
2021-10-10 19:12:00,EQUIP,NORMAL,10/10/10/10,NIGHTEQUIP,13,PEQ-2,★★
2021-10-10 19:12:00,EQUIP,NORMAL,10/10/10/10,REDDOT,10,AMP COMPM4,★★★
2021-10-10 19:12:00,EQUIP,NORMAL,10/10/10/10,HOLO,8,EOT 518,★★★★★
2021-10-11 19:17:03,GUN,NORMAL,130/130/130/30,HG,91,MP-446,★★
2021-10-11 19:17:03,GUN,NORMAL,130/130/130/30,HG,139,Bren Ten,★★
2021-10-11 19:17:03,GUN,NORMAL,130/130/130/30,HG,90,FF FNP9,★★
2021-10-11 19:17:03,GUN,NORMAL,130/130/130/30,HG,96,Grizzly,★★★★★
2021-10-11 19:17:12,EQUIP,NORMAL,180/20/200/20,CLOAK,88,Camouflage Cape,★★★
2021-10-11 19:17:12,EQUIP,NORMAL,180/20/200/20,CLOAK,88,Camouflage Cape,★★★
2021-10-11 19:17:12,EQUIP,NORMAL,180/20/200/20,CLOAK,88,Camouflage Cape,★★★
2021-10-11 19:17:12,EQUIP,NORMAL,180/20/200/20,CLOAK,87,Ragged Cape,★★
2021-10-12 22:53:40,GUN,NORMAL,400/91/400/30,SMG,92,Spectre M4,★★
2021-10-12 22:53:40,GUN,NORMAL,400/91/400/30,RF,47,G43,★★
2021-10-12 22:53:40,GUN,NORMAL,400/91/400/30,AR,133,Type63,★★
2021-10-12 22:53:40,GUN,NORMAL,400/91/400/30,SMG,93,IDW,★★
2021-10-12 22:54:00,GUN,NORMAL,400/91/400/30,RF,51,FF FN49,★★
2021-10-12 22:54:00,GUN,NORMAL,400/91/400/30,AR,61,StG44,★★★
2021-10-12 22:54:00,GUN,NORMAL,400/91/400/30,RF,43,SVD,★★★★
2021-10-12 22:54:00,GUN,NORMAL,400/91/400/30,RF,47,G43,★★
2021-10-12 22:54:09,GUN,NORMAL,400/91/400/30,AR,107,FF F2000,★★
2021-10-12 22:54:09,GUN,NORMAL,400/91/400/30,SMG,24,PP-2000,★★
2021-10-12 22:54:09,GUN,NORMAL,400/91/400/30,RF,34,M1 Garand,★★★
2021-10-12 22:54:09,GUN,NORMAL,400/91/400/30,RF,305,Tabuk,★★★★
2021-10-12 22:54:21,EQUIP,NORMAL,180/20/200/20,CLOAK,89,Urban Camouflage Cape,★★★★
2021-10-12 22:54:21,EQUIP,NORMAL,180/20/200/20,CLOAK,87,Ragged Cape,★★
2021-10-12 22:54:21,EQUIP,NORMAL,180/20/200/20,CLOAK,87,Ragged Cape,★★
2021-10-12 22:54:21,EQUIP,NORMAL,180/20/200/20,CLOAK,87,Ragged Cape,★★
2021-10-12 23:42:16,GUN,NORMAL,400/91/400/30,SMG,24,PP-2000,★★
2021-10-12 23:42:16,GUN,NORMAL,400/91/400/30,RF,37,M14,★★★
2021-10-12 23:42:16,GUN,NORMAL,400/91/400/30,SMG,25,MP40,★★
2021-10-12 23:42:16,GUN,NORMAL,400/91/400/30,AR,68,L85A1,★★
2021-10-12 23:42:22,GUN,NORMAL,400/91/400/30,RF,34,M1 Garand,★★★
2021-10-12 23:42:24,GUN,NORMAL,400/91/400/30,RF,270,4 Shiki,★★★★
2021-10-12 23:42:34,GUN,NORMAL,400/91/400/30,SMG,92,Spectre M4,★★
2021-10-12 23:42:36,GUN,NORMAL,400/91/400/30,RF,47,G43,★★
2021-10-12 23:42:40,GUN,NORMAL,400/91/400/30,RF,51,FF FN49,★★
2021-10-12 23:42:43,GUN,NORMAL,400/91/400/30,RF,305,Tabuk,★★★★
2021-10-12 23:42:47,GUN,NORMAL,400/91/400/30,SMG,94,Type64,★★
2021-10-13 00:30:53,GUN,NORMAL,400/91/400/30,RF,51,FF FN49,★★
2021-10-13 00:30:53,GUN,NORMAL,400/91/400/30,SMG,93,IDW,★★
2021-10-13 00:30:53,GUN,NORMAL,400/91/400/30,AR,61,StG44,★★★
2021-10-13 00:30:53,GUN,NORMAL,400/91/400/30,SMG,24,PP-2000,★★
2021-10-13 00:30:58,GUN,NORMAL,400/91/400/30,RF,47,G43,★★
2021-10-13 00:31:04,GUN,NORMAL,400/91/400/30,SMG,92,Spectre M4,★★
2021-10-13 00:31:04,GUN,NORMAL,400/91/400/30,RF,37,M14,★★★
2021-10-13 00:31:04,GUN,NORMAL,400/91/400/30,RF,40,SVT-38,★★
2021-10-13 00:31:04,GUN,NORMAL,400/91/400/30,RF,47,G43,★★
2021-10-13 13:06:10,GUN,NORMAL,400/91/400/30,RF,37,M14,★★★
2021-10-13 13:06:10,GUN,NORMAL,400/91/400/30,RF,39,Mosin-Nagant,★★★★
2021-10-13 13:06:10,GUN,NORMAL,400/91/400/30,RF,52,VM59,★★
2021-10-13 13:06:10,GUN,NORMAL,400/91/400/30,RF,51,FF FN49,★★
2021-10-13 17:53:00,GUN,NORMAL,400/91/400/30,RF,95,Type88,★★★
2021-10-13 17:53:00,GUN,NORMAL,400/91/400/30,RF,128,M99,★★★★★
2021-10-13 17:53:00,GUN,NORMAL,400/91/400/30,SMG,25,MP40,★★
2021-10-13 17:53:00,GUN,NORMAL,400/91/400/30,AR,74,SIG-510,★★
2021-10-13 17:53:10,GUN,NORMAL,400/91/400/30,SMG,94,Type64,★★
2021-10-13 17:53:33,GUN,NORMAL,400/91/400/30,RF,40,SVT-38,★★
2021-10-13 19:13:37,GUN,NORMAL,400/91/400/30,AR,74,SIG-510,★★
2021-10-13 19:13:37,GUN,NORMAL,400/91/400/30,RF,305,Tabuk,★★★★
2021-10-13 19:13:37,GUN,NORMAL,400/91/400/30,RF,39,Mosin-Nagant,★★★★
2021-10-13 19:13:37,GUN,NORMAL,400/91/400/30,AR,69,Fr FAMAS,★★★★
